Scenario,Mean_Cost,Δ%_vs_Baseline,Savings_vs_Baseline_$
Integrated PBM + SDOH Scenario,17.57061965963935,-4.067568080085883,0.7450003116208137
"PBM: Triple Play (-10% Util, -3% Cost, -5% Rate)",17.68038586344938,-3.468264294670641,0.6352341078107813
PBM: Cost-per-Claim Reduction (-3%),17.92926754067572,-2.109414975800349,0.38635243058444146
PBM: Utilization Guidance (-5%),18.123458530157876,-1.0491670028304514,0.19216144110228583
"SDOH: Integrated Scenario (+20% MH, +10% PC, -5% Smoking/Obesity)",18.206046859639013,-0.5982495366964637,0.10957311162114891
PBM: Formulary Tightening (-10% Utilization),18.26293089359208,-0.28767291388856925,0.05268907766808084
SDOH: -5% Smoking,18.271720647192325,-0.2396824357391204,0.04389932406783714
SDOH: +10% Primary Care Physicians Rate,18.287013290214553,-0.15618734768736817,0.02860668104560915
SDOH: +20% Mental Health Provider Rate,18.29186973457222,-0.12967203253403042,0.02375023668794185
SDOH: -5% Obesity,18.307042098571955,-0.046833646372150005,0.008577872688206867
