Scenario,Mean_Cost,Δ%_vs_Baseline,Savings_vs_Baseline_$
Integrated PBM + SDOH Scenario,18.973652599241667,-8.22134680303439,1.69962156454719
"PBM: Triple Play (-10% Util, -3% Cost, -5% Rate)",19.443036105941218,-5.950862200640258,1.2302380578476395
PBM: Utilization Guidance (-5%),19.76052676159197,-4.4151081002720405,0.9127474021968887
"SDOH: Integrated Scenario (+20% MH, +10% PC, -5% Smoking/Obesity)",20.13986949288899,-2.5801654187616476,0.5334046708998663
PBM: Formulary Tightening (-10% Utilization),20.35043754262992,-1.561613407732077,0.3228366211589382
SDOH: -5% Smoking,20.441190145327337,-1.1226282620874697,0.2320840184615207
SDOH: +20% Mental Health Provider Rate,20.54988715544105,-0.5968430901184124,0.1233870083478088
SDOH: +10% Primary Care Physicians Rate,20.582392823950645,-0.4396078681982521,0.09088133983821223
SDOH: -5% Obesity,20.60708332178282,-0.3201759018993539,0.06619084200603709
PBM: Cost-per-Claim Reduction (-3%),20.673274163788857,0.0,0.0
